symbol,date,calendarYear,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
AAPL,2023-09-30,2023,Q4,0.0941477071286233,0.1102353555049021,0.17266718845116966,0.17266718845116966,0.15467028821487852,0.1574803149606299,0.1587301587301587,-0.006254453702326991,-0.006505284525453247,-0.017497488073370402,-0.18127369219105383,-0.19977765882982665,2.8761660930209842,0.7518576677199987,0.5126279463139042,2.537720027788992,0.36208156820241644,0.1477894557586584,3.959484737936677,1.000985276664582,0.9807352309846675,-0.1836622738244476,-0.28588312071003574,0.0400407180801733,1.2025701099817383,0.3107449823901344,0.1704034450729309,0.5562956157811463,-0.1387566317507822,0.05236719416901963,0.037547460254964554,0.016544655929721815,-0.018140284869658695,0.029800770132261845
AAPL,2023-07-01,2023,Q3,-0.1374899827069889,-0.1325281113016962,-0.1878663747439791,-0.1878663747439791,-0.17711092715231788,-0.16993464052287582,-0.17105263157894737,-0.005671699915006847,-0.004545262367443783,0.06053558754695729,-0.07633053221288516,-0.05291686164404929,2.794365221991353,0.9104444791292681,0.5060347148785376,4.521833546752206,1.2651936233929801,0.7816539347631406,3.721157307534541,1.1471501888651372,0.9414790637620551,-0.19936215724700282,-0.3476753456849462,-0.08364731179494696,1.243605015284434,0.31080236227472274,0.1569231975175151,0.09156243906515502,-0.017508687516706763,0.008664499036608863,-0.024778692925007142,-0.0030561510742142953,-0.002011532787984444,-0.036768263183357526
AAPL,2023-04-01,2023,Q2,-0.1905013913310685,-0.16601764285146625,-0.21373833851621502,-0.21373833851621502,-0.1946129741982799,-0.1904761904761904,-0.1914893617021276,-0.006642599886753201,-0.00681059918456819,-0.02483874213426407,-0.16012351124834584,-0.15136673505857437,2.624661501387529,0.9749253541176554,0.7966378244384243,2.806447428500481,1.4032605442758554,1.3702830736968787,3.2173593274150805,1.225397637618649,1.3726610928582275,-0.2354596917454182,-0.3762762385028393,-0.1244212752867616,1.4419104582911724,0.45674576020303687,0.19473553976578392,-0.3374123292727944,0.0970674486803519,-0.04206813613383822,0.10306647155513435,-0.013455134551345513,-0.03268906472953691,-0.061449977296806416
AAPL,2022-12-31,2023,Q1,0.29960286646107426,0.3212232576453603,0.4467743231300715,0.4467743231300715,0.44771005260363883,0.4651162790697673,0.4573643410852712,-0.008587381136644154,-0.01009692920510731,0.02636714095922001,0.40941683590997635,0.45013916882618293,2.5550970616464634,0.7074888261458327,0.41781929632514386,1.4012152755446157,0.5466455701582712,0.23825899909488127,2.7943503167464514,0.9238896538879229,0.4991046641529747,-0.26312984703600273,-0.4793187688824235,-0.2959350879832732,1.5002018539570139,0.45218349857669543,0.1831141579167698,-0.11081205278014836,0.3788920339668419,-0.017031650862496632,0.12919079234133676,-0.07461542946139303,0.140215944386925,0.02593167701863354
AAPL,2022-09-24,2022,Q4,0.08663315613736906,0.06158562073289675,0.07878315132605304,0.07878315132605304,0.0657854130233515,0.07500000000000007,0.07500000000000007,-0.008201661269032346,-0.008838777870378324,-0.020303882931498603,0.05394897780884152,0.002308802308802309,3.107996823308706,1.2029733766385966,0.5773792798101193,3.328356378856187,0.9801478631163073,0.3579164778599069,3.130058457082405,1.4850445484420745,0.6965832275732814,-0.29742999087495636,-0.5142799208856684,-0.3724937571369678,1.4393780649439716,0.4550605604104608,0.19272487682316425,0.4424506415415937,-0.08963740106755015,0.048901456696074146,-0.12074222842552913,0.003158132190390255,-0.005296454318081506,0.07119095143047238
AAPL,2022-06-25,2022,Q3,-0.14719669401097885,-0.15681759439836462,-0.23026118282797958,-0.23026118282797958,-0.22263094762095162,-0.22077922077922082,-0.21052631578947373,-0.007117047065257014,-0.008602711793152067,0.0676821936580499,-0.1872470354327913,-0.1895368782161235,2.8432620643339654,1.3488946532274344,0.7439114712584067,2.6453733133073887,2.519281813198339,1.2253374249757822,2.574911329946514,1.8675189561077983,1.1895258750619584,-0.15630339314559372,-0.4358548263957507,-0.318579722359052,0.0,0.456083514659791,0.18786702818848586,-0.06955947136563877,-0.004945054945054945,-0.04093115307618162,-0.13168571332084153,-0.0024170493661496402,0.0641928918114921,-0.029226546100435975
AAPL,2022-03-26,2022,Q2,-0.2151518818830933,-0.2154010655752816,-0.2774055148476668,-0.2774055148476668,-0.2777938203869477,-0.2701421800947867,-0.2761904761904762,-0.006888964211452072,-0.007020579757327358,-0.030027432819719462,-0.40028957117915087,-0.41915177863822656,2.9863163334900693,1.361464320915881,0.9257823059571089,2.235931129616678,1.888061129767197,1.8999362841968912,2.455579435318324,1.9118375488870831,1.4845694800865892,0.055908101022999084,-0.35453520393378685,-0.268769296034549,0.0,0.5366980969848932,0.19920858139016137,-0.3042465480514306,-0.07079646017699115,-0.08008845959112361,-0.05651823809996078,-0.02294011303115686,0.012844909609895337,-0.039696076911149014
AAPL,2021-12-25,2022,Q1,0.48686420345489445,0.5421333939841929,0.7442192886571933,0.7442192886571933,0.6850761520120675,0.688,0.6935483870967742,-0.005786152718840361,-0.006961546422001627,0.03124164693391339,1.3250495049504951,1.6013429934617422,3.254424250055306,1.0454363110918596,0.6989494930593282,3.2550991525769244,1.244509649601384,1.0336000583878153,3.2157856823999005,1.5027609443628016,1.0045353651204267,0.2703439756367166,-0.2974642214216292,-0.2948713742330717,0.0,0.5416961606861777,0.20878019300766837,0.2669009435793888,-0.10699088145896657,0.08600805693414852,0.1467844635430006,-0.015402625101227559,0.09251559251559252,0.14832621082621084
AAPL,2021-09-25,2021,Q4,0.023651054841957904,-0.002297546447312438,-0.014092680096161818,-0.014092680096161818,-0.05486571008094187,-0.045801526717557293,-0.04615384615384619,-0.008554141945597341,-0.008737952303501396,-0.025376765139987368,-0.0423817199203565,-0.10652070943634545,3.648620543330107,1.3166968690247194,0.5438574922063781,2.053520933423078,0.6310390327773514,0.20532722001279227,3.891819274126233,1.9686229862469493,0.6949022334302342,0.2981919780253233,-0.3594601107917513,-0.31406863670037954,0.0,0.5328566375530903,0.20123181880020563,0.5189925681255161,0.27076091154886056,0.06415837982051904,-0.010044537140362672,0.024041185309259305,0.009620430295609585,0.037694013303769404
AAPL,2021-06-26,2021,Q3,-0.09097606715484909,-0.07416161138685365,-0.12278660509762572,-0.12278660509762572,-0.07981379602200593,-0.07092198581560274,-0.07142857142857134,-0.007407716464332536,-0.008708171351946232,0.10099017173122408,-0.12038697302030775,-0.12486182756079588,3.4445129004800625,1.5170825134558246,0.7953975821965108,1.9611943715120645,1.5971044514061936,0.7098078397631039,3.639644928697917,2.6516970432156772,1.2167742130400505,0.4454966383966938,-0.33492329448071984,-0.3432993134611971,0.0,0.5475357396514634,0.21099610887559891,0.02639544739072527,-0.007855911094079326,-0.021704957319713607,-0.0638682578805509,0.0012002137366928357,0.08646902318510072,0.018441851712457658
AAPL,2021-03-27,2021,Q2,-0.19611626091404266,-0.14097184623714132,-0.17984731913878452,-0.17984731913878452,-0.17822987306555382,-0.17058823529411768,-0.16666666666666669,-0.010725817751856364,-0.010782655380885757,-0.035601232475906616,-0.3813430333049558,-0.38428381022601593,4.603522678479904,1.3329261290145336,0.7579512404758663,4.94968194245106,1.7215962312519815,0.9015548628417991,5.089778282886883,1.9584550614542182,1.0510362301347032,0.7362103997913495,-0.30184404399023856,-0.34587284761206316,0.0,0.5638522089818039,0.29637634931237034,-0.43643807574206755,0.04946712246129097,-0.04772153400328764,0.05593191838381016,0.08569924047017663,0.01917489831493318,-0.056295507014739836
AAPL,2020-12-26,2021,Q1,0.7224489165043742,0.7954554659970027,1.2696446700507613,1.2696446700507613,1.2689970804071649,1.2972972972972974,1.3013698630136985,-0.007181716185292416,-0.00827704495013798,0.03649536782338999,0.8838938569206843,0.8764899957428693,5.334083241770746,0.9284954471064305,0.5242212657294533,5.028561374663331,0.8532429138707031,0.6545331205885235,6.279421928415583,1.056269270033069,0.730658148695998,0.8412905161868176,-0.32210346244299376,-0.42956314499737397,0.0,0.597793712708828,0.30673831781436667,0.5654960608893043,0.22457522777640976,0.09313713382403795,0.020876388047382618,-0.0034953217830588066,0.03716351948573724,0.14080226904376014
AAPL,2020-09-26,2020,Q4,0.0839909525006283,0.08858024691358024,0.12863799556947522,0.12863799556947522,0.12618857193637253,0.1384615384615384,0.12307692307692301,-0.011169086297205868,-0.009336332790482568,-0.028813566422544706,0.2645811566590867,0.2778457772337821,3.7992108115390004,0.6635199991809654,0.48586389168708505,4.463579489515161,1.0220179660471322,0.5870135468836056,3.43912844134612,0.5085902180805869,0.42832911256382417,1.0631002715203055,-0.2750889848746352,-0.4114059332580511,0.0,0.5685756281297552,0.29653299113994297,0.16742010911925176,0.020864756158873805,0.02062115559140869,-0.0858440560865894,-0.002546064245983517,0.04623791509037411,0.021734630511281307
