date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,Q4,89498000000,49071000000,40427000000,0.4517084181,7307000000,0,0,6151000000,29000000,13458000000,62529000000,984000000,1002000000,2653000000,29622000000,0.3309794632,26969000000,0.3013363427,29000000,26998000000,0.3016603723,4042000000,22956000000,0.2564973519,1.47,1.46,15599434000,15672400000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
2023-07-01,AAPL,USD,0000320193,2023-08-04,2023-08-03 18:04:43,2023,Q3,81797000000,45384000000,36413000000,0.4451630255,7442000000,0,0,5973000000,-265000000,13415000000,58799000000,980000000,998000000,3052000000,22998000000,0.2811594557,22998000000,0.2811594557,-265000000,22733000000,0.2779197281,2852000000,19881000000,0.2430529237,1.27,1.26,15697614000,15775021000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm
2023-04-01,AAPL,USD,0000320193,2023-05-05,2023-05-04 18:03:52,2023,Q2,94836000000,52860000000,41976000000,0.4426167278,7457000000,0,0,6201000000,64000000,13658000000,66518000000,918000000,930000000,2898000000,31216000000,0.3291577038,28318000000,0.2985996879,64000000,28382000000,0.2992745371,4222000000,24160000000,0.2547555781,1.53,1.52,15787154000,15847050000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm
2022-12-31,AAPL,USD,0000320193,2023-02-03,2023-02-02 18:01:30,2023,Q1,117154000000,66822000000,50332000000,0.4296225481,7709000000,0,0,6607000000,-393000000,14316000000,81138000000,868000000,1003000000,2916000000,38932000000,0.332314731,36016000000,0.3074244157,-393000000,35623000000,0.3040698568,5625000000,29998000000,0.2560561312,1.89,1.88,15892723000,15955718000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,Q4,90146000000,52051000000,38095000000,0.4225922393,6761000000,0,0,6440000000,-237000000,13201000000,65252000000,753000000,827000000,2865000000,27759000000,0.3079337963,24894000000,0.2761520201,-237000000,24657000000,0.2735229517,3936000000,20721000000,0.2298604486,1.29,1.29,16030382000,16118465000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
2022-06-25,AAPL,USD,0000320193,2022-07-29,2022-07-28 18:06:56,2022,Q3,82959000000,47074000000,35885000000,0.4325630733,6797000000,0,0,6012000000,-10000000,12809000000,59883000000,722000000,719000000,2805000000,25881000000,0.3119733844,23076000000,0.2781615015,-10000000,23066000000,0.27804096,3624000000,19442000000,0.2343567304,1.2,1.2,16162945000,16262203000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm
2022-03-26,AAPL,USD,0000320193,2022-04-29,2022-04-28 18:03:58,2022,Q2,97278000000,54719000000,42559000000,0.437498715,6387000000,0,0,6193000000,160000000,12580000000,67299000000,700000000,691000000,2737000000,32716000000,0.3363144801,29979000000,0.3081786221,160000000,30139000000,0.3098233928,5129000000,25010000000,0.2570982134,1.54,1.52,16278802000,16403316000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm
2021-12-25,AAPL,USD,0000320193,2022-01-28,2022-01-27 18:00:58,2022,Q1,123945000000,69702000000,54243000000,0.4376376619,6306000000,0,0,6449000000,-247000000,12755000000,82457000000,650000000,694000000,2697000000,44185000000,0.3564887652,41488000000,0.3347291137,-247000000,41241000000,0.3327362943,6611000000,34630000000,0.2793981201,2.11,2.1,16391724000,16519291000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,Q4,83360000000,48186000000,35174000000,0.421952975,5772000000,0,0,5616000000,-538000000,11388000000,59574000000,659000000,672000000,2989000000,26775000000,0.3211972169,23786000000,0.285340691,-538000000,23248000000,0.2788867562,2697000000,20551000000,0.2465331094,1.25,1.24,16487121000,16635097000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
2021-06-26,AAPL,USD,0000320193,2021-07-28,2021-07-27 18:03:42,2021,Q3,81434000000,46179000000,35255000000,0.4329272785,5717000000,0,0,5412000000,243000000,11129000000,57308000000,719000000,665000000,2832000000,26958000000,0.3310410885,24126000000,0.2962644596,243000000,24369000000,0.2992484712,2625000000,21744000000,0.267013778,1.31,1.3,16629371000,16781735000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm
2021-03-27,AAPL,USD,0000320193,2021-04-29,2021-04-28 18:02:54,2021,Q2,89584000000,51505000000,38079000000,0.4250647437,5262000000,0,0,5314000000,508000000,10576000000,62081000000,718000000,670000000,2797000000,30300000000,0.3382300411,27503000000,0.3070079478,508000000,28011000000,0.3126786033,4381000000,23630000000,0.2637747812,1.41,1.4,16753476000,16929157000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/0000320193-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm
2020-12-26,AAPL,USD,0000320193,2021-01-28,2021-01-27 18:03:06,2021,Q1,111439000000,67111000000,44328000000,0.3977781567,5163000000,0,0,5631000000,45000000,10794000000,77905000000,747000000,638000000,2666000000,36200000000,0.324841393,33534000000,0.300917991,45000000,33579000000,0.3013217994,4824000000,28755000000,0.258033543,1.7,1.68,16935119000,17113688000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/0000320193-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm
